id,stateabb,ccode,year,p5
4149,URU,165,1881,0
4150,URU,165,1882,0
4151,URU,165,1883,0
4152,URU,165,1884,0
4153,URU,165,1885,0
4154,URU,165,1886,0
4155,URU,165,1887,0
4156,URU,165,1888,0
4157,URU,165,1889,0
4158,URU,165,1890,0
4159,URU,165,1891,0
4160,URU,165,1892,0
4161,URU,165,1893,0
4162,URU,165,1894,0
4163,URU,165,1895,0
4164,URU,165,1896,0
4165,URU,165,1897,0
4166,URU,165,1898,0
4167,URU,165,1899,0
4168,URU,165,1900,0
4169,URU,165,1901,0
4170,URU,165,1902,0
4171,URU,165,1903,0
4172,URU,165,1904,0
4173,URU,165,1905,0
4174,URU,165,1906,0
4175,URU,165,1907,0
4176,URU,165,1908,0
4177,URU,165,1909,0
4178,URU,165,1910,0
4179,URU,165,1911,0
4180,URU,165,1912,0
4181,URU,165,1913,0
4182,URU,165,1914,0
4183,URU,165,1915,0
4184,URU,165,1916,0
4185,URU,165,1917,0
4186,URU,165,1918,0
4187,URU,165,1919,0
4188,URU,165,1920,0
4189,URU,165,1921,0
4190,URU,165,1922,0
4191,URU,165,1923,0
4192,URU,165,1924,0
4193,URU,165,1925,0
4194,URU,165,1926,0
4195,URU,165,1927,0
4196,URU,165,1928,0
4197,URU,165,1929,0
4198,URU,165,1930,0
4199,URU,165,1931,0
4200,URU,165,1932,0
4201,URU,165,1933,0
4202,URU,165,1934,0
4203,URU,165,1935,0
4204,URU,165,1936,0
4205,URU,165,1937,0
4206,URU,165,1938,0
4207,URU,165,1939,0
4208,URU,165,1940,0
4209,URU,165,1941,0
4210,URU,165,1942,0
4211,URU,165,1943,0
4212,URU,165,1944,0
4213,URU,165,1945,0
4214,URU,165,1946,0
4215,URU,165,1947,0
4216,URU,165,1948,0
4217,URU,165,1949,0
4218,URU,165,1950,0
4219,URU,165,1951,0
4220,URU,165,1952,0
4221,URU,165,1953,0
4222,URU,165,1954,0
4223,URU,165,1955,0
4224,URU,165,1956,0
4225,URU,165,1957,0
4226,URU,165,1958,0
4227,URU,165,1959,0
4228,URU,165,1960,0
4229,URU,165,1961,0
4230,URU,165,1962,0
4231,URU,165,1963,0
4232,URU,165,1964,0
4233,URU,165,1965,0
4234,URU,165,1966,0
4235,URU,165,1967,0
4236,URU,165,1968,0
4237,URU,165,1969,0
4238,URU,165,1970,0
4239,URU,165,1971,0
4240,URU,165,1972,0
4241,URU,165,1973,0
4242,URU,165,1974,0
4243,URU,165,1975,0
4244,URU,165,1976,0
4245,URU,165,1977,0
4246,URU,165,1978,0
4247,URU,165,1979,0
4248,URU,165,1980,0
4249,URU,165,1981,0
4250,URU,165,1982,0
4251,URU,165,1983,0
4252,URU,165,1984,0
4253,URU,165,1985,0
4254,URU,165,1986,0
4255,URU,165,1987,0
4256,URU,165,1988,0
4257,URU,165,1989,0
4258,URU,165,1990,0
4259,URU,165,1991,0
4260,URU,165,1992,0
4261,URU,165,1993,0
4262,URU,165,1994,0
4263,URU,165,1995,0
4264,URU,165,1996,0
4265,URU,165,1997,0
4266,URU,165,1998,0
4267,URU,165,1999,0
4268,URU,165,2000,0
4269,URU,165,2001,0
4270,URU,165,2002,0
4271,URU,165,2003,0
4272,URU,165,2004,0
4273,URU,165,2005,0
4274,URU,165,2006,0
4275,URU,165,2007,0
4276,URU,165,2008,0
4277,URU,165,2009,0
4278,URU,165,2010,0
4279,URU,165,2011,0
4280,URU,165,2012,0
4281,URU,165,2013,0
4282,URU,165,2014,0
4283,URU,165,2015,0
4284,URU,165,2016,0
4285,URU,165,2017,0
4286,URU,165,2018,0
4287,UKG,200,1800,0
4288,UKG,200,1801,0
4289,UKG,200,1802,0
4290,UKG,200,1803,0
4291,UKG,200,1804,0
4292,UKG,200,1805,0
4293,UKG,200,1806,0
4294,UKG,200,1807,0
4295,UKG,200,1808,0
4296,UKG,200,1809,0
4297,UKG,200,1810,0
4298,UKG,200,1811,0
4299,UKG,200,1812,0
4300,UKG,200,1813,0
4301,UKG,200,1814,0
4302,UKG,200,1815,0
4303,UKG,200,1816,0
4304,UKG,200,1817,0
4305,UKG,200,1818,0
4306,UKG,200,1819,0
4307,UKG,200,1820,0
4308,UKG,200,1821,0
4309,UKG,200,1822,0
4310,UKG,200,1823,0
4311,UKG,200,1824,0
4312,UKG,200,1825,0
4313,UKG,200,1826,0
4314,UKG,200,1827,0
4315,UKG,200,1828,0
4316,UKG,200,1829,0
4317,UKG,200,1830,0
4318,UKG,200,1831,0
4319,UKG,200,1832,0
4320,UKG,200,1833,0
4321,UKG,200,1834,0
4322,UKG,200,1835,0
4323,UKG,200,1836,0
4324,UKG,200,1837,0
4325,UKG,200,1838,0
4326,UKG,200,1839,0
4327,UKG,200,1840,0
4328,UKG,200,1841,0
4329,UKG,200,1842,0
4330,UKG,200,1843,0
4331,UKG,200,1844,0
4332,UKG,200,1845,0
4333,UKG,200,1846,0
4334,UKG,200,1847,0
4335,UKG,200,1848,0
4336,UKG,200,1849,0
4337,UKG,200,1850,0
4338,UKG,200,1851,0
4339,UKG,200,1852,0
4340,UKG,200,1853,0
4341,UKG,200,1854,0
4342,UKG,200,1855,0
4343,UKG,200,1856,0
4344,UKG,200,1857,0
4345,UKG,200,1858,0
4346,UKG,200,1859,0
4347,UKG,200,1860,0
4348,UKG,200,1861,0
4349,UKG,200,1862,0
4350,UKG,200,1863,0
4351,UKG,200,1864,0
4352,UKG,200,1865,0
4353,UKG,200,1866,0
4354,UKG,200,1867,0
4355,UKG,200,1868,0
4356,UKG,200,1869,0
4357,UKG,200,1870,0
4358,UKG,200,1871,0
4359,UKG,200,1872,0
4360,UKG,200,1873,0
4361,UKG,200,1874,0
4362,UKG,200,1875,0
4363,UKG,200,1876,0
4364,UKG,200,1877,0
4365,UKG,200,1878,0
4366,UKG,200,1879,0
4367,UKG,200,1880,0
4368,UKG,200,1881,0
4369,UKG,200,1882,0
4370,UKG,200,1883,0
4371,UKG,200,1884,0
4372,UKG,200,1885,0
4373,UKG,200,1886,0
4374,UKG,200,1887,0
4375,UKG,200,1888,0
4376,UKG,200,1889,0
4377,UKG,200,1890,0
4378,UKG,200,1891,0
4379,UKG,200,1892,0
4380,UKG,200,1893,0
4381,UKG,200,1894,0
4382,UKG,200,1895,0
4383,UKG,200,1896,0
4384,UKG,200,1897,0
4385,UKG,200,1898,0
4386,UKG,200,1899,0
4387,UKG,200,1900,0
4388,UKG,200,1901,0
4389,UKG,200,1902,0
4390,UKG,200,1903,0
4391,UKG,200,1904,0
4392,UKG,200,1905,0
4393,UKG,200,1906,0
4394,UKG,200,1907,0
4395,UKG,200,1908,0
4396,UKG,200,1909,0
4397,UKG,200,1910,0
4398,UKG,200,1911,0
4399,UKG,200,1912,0
4400,UKG,200,1913,0
4401,UKG,200,1914,0
4402,UKG,200,1915,0
4403,UKG,200,1916,0
4404,UKG,200,1917,0
4405,UKG,200,1918,0
4406,UKG,200,1919,0
4407,UKG,200,1920,0
4408,UKG,200,1921,0
4409,UKG,200,1922,0
4410,UKG,200,1923,0
4411,UKG,200,1924,0
4412,UKG,200,1925,0
4413,UKG,200,1926,0
4414,UKG,200,1927,0
4415,UKG,200,1928,0
4416,UKG,200,1929,0
4417,UKG,200,1930,0
4418,UKG,200,1931,0
4419,UKG,200,1932,0
4420,UKG,200,1933,0
4421,UKG,200,1934,0
4422,UKG,200,1935,0
4423,UKG,200,1936,0
4424,UKG,200,1937,0
4425,UKG,200,1938,0
4426,UKG,200,1939,0
4427,UKG,200,1940,0
4428,UKG,200,1941,0
4429,UKG,200,1942,0
4430,UKG,200,1943,0
4431,UKG,200,1944,0
4432,UKG,200,1945,0
4433,UKG,200,1946,0
4434,UKG,200,1947,0
4435,UKG,200,1948,0
4436,UKG,200,1949,0
4437,UKG,200,1950,0
4438,UKG,200,1951,0
4439,UKG,200,1952,0
4440,UKG,200,1953,0
4441,UKG,200,1954,0
4442,UKG,200,1955,0
4443,UKG,200,1956,0
4444,UKG,200,1957,0
4445,UKG,200,1958,0
4446,UKG,200,1959,0
4447,UKG,200,1960,0
4448,UKG,200,1961,0
4449,UKG,200,1962,0
4450,UKG,200,1963,0
4451,UKG,200,1964,0
4452,UKG,200,1965,0
4453,UKG,200,1966,0
4454,UKG,200,1967,0
4455,UKG,200,1968,0
4456,UKG,200,1969,0
4457,UKG,200,1970,0
4458,UKG,200,1971,0
4459,UKG,200,1972,0
4460,UKG,200,1973,0
4461,UKG,200,1974,0
4462,UKG,200,1975,0
4463,UKG,200,1976,0
4464,UKG,200,1977,0
4465,UKG,200,1978,0
4466,UKG,200,1979,0
4467,UKG,200,1980,0
4468,UKG,200,1981,0
4469,UKG,200,1982,0
4470,UKG,200,1983,0
4471,UKG,200,1984,0
4472,UKG,200,1985,0
4473,UKG,200,1986,0
4474,UKG,200,1987,0
4475,UKG,200,1988,0
4476,UKG,200,1989,0
4477,UKG,200,1990,0
4478,UKG,200,1991,0
4479,UKG,200,1992,0
4480,UKG,200,1993,0
4481,UKG,200,1994,0
4482,UKG,200,1995,0
4483,UKG,200,1996,0
4484,UKG,200,1997,0
4485,UKG,200,1998,0
4486,UKG,200,1999,0
4487,UKG,200,2000,0
4488,UKG,200,2001,0
4489,UKG,200,2002,0
4490,UKG,200,2003,0
4491,UKG,200,2004,0
4492,UKG,200,2005,0
4493,UKG,200,2006,0
4494,UKG,200,2007,0
4495,UKG,200,2008,0
4496,UKG,200,2009,0
4497,UKG,200,2010,0
4498,UKG,200,2011,0
4499,UKG,200,2012,0
4500,UKG,200,2013,0
4501,UKG,200,2014,0
4502,UKG,200,2015,0
4503,UKG,200,2016,0
4504,UKG,200,2017,0
4505,UKG,200,2018,0
4506,IRE,205,1921,0
4507,IRE,205,1922,0
4508,IRE,205,1923,0
4509,IRE,205,1924,0
4510,IRE,205,1925,0
4511,IRE,205,1926,0
4512,IRE,205,1927,0
4513,IRE,205,1928,0
4514,IRE,205,1929,0
4515,IRE,205,1930,0
4516,IRE,205,1931,0
4517,IRE,205,1932,0
4518,IRE,205,1933,0
4519,IRE,205,1934,0
4520,IRE,205,1935,0
4521,IRE,205,1936,0
4522,IRE,205,1937,0
4523,IRE,205,1938,0
4524,IRE,205,1939,0
4525,IRE,205,1940,0
4526,IRE,205,1941,0
4527,IRE,205,1942,0
4528,IRE,205,1943,0
4529,IRE,205,1944,0
4530,IRE,205,1945,0
4531,IRE,205,1946,0
4532,IRE,205,1947,0
4533,IRE,205,1948,0
4534,IRE,205,1949,0
4535,IRE,205,1950,0
4536,IRE,205,1951,0
4537,IRE,205,1952,0
4538,IRE,205,1953,0
4539,IRE,205,1954,0
4540,IRE,205,1955,0
4541,IRE,205,1956,0
4542,IRE,205,1957,0
4543,IRE,205,1958,0
4544,IRE,205,1959,0
4545,IRE,205,1960,0
4546,IRE,205,1961,0
4547,IRE,205,1962,0
4548,IRE,205,1963,0
4549,IRE,205,1964,0
4550,IRE,205,1965,0
4551,IRE,205,1966,0
4552,IRE,205,1967,0
4553,IRE,205,1968,0
4554,IRE,205,1969,0
4555,IRE,205,1970,0
4556,IRE,205,1971,0
4557,IRE,205,1972,0
4558,IRE,205,1973,0
4559,IRE,205,1974,0
4560,IRE,205,1975,0
4561,IRE,205,1976,0
4562,IRE,205,1977,0
4563,IRE,205,1978,0
4564,IRE,205,1979,0
4565,IRE,205,1980,0
4566,IRE,205,1981,0
4567,IRE,205,1982,0
4568,IRE,205,1983,0
4569,IRE,205,1984,0
4570,IRE,205,1985,0
4571,IRE,205,1986,0
4572,IRE,205,1987,0
4573,IRE,205,1988,0
4574,IRE,205,1989,0
4575,IRE,205,1990,0
4576,IRE,205,1991,0
4577,IRE,205,1992,0
4578,IRE,205,1993,0
4579,IRE,205,1994,0
4580,IRE,205,1995,0
4581,IRE,205,1996,0
4582,IRE,205,1997,0
4583,IRE,205,1998,0
4584,IRE,205,1999,0
4585,IRE,205,2000,0
4586,IRE,205,2001,0
4587,IRE,205,2002,0
4588,IRE,205,2003,0
4589,IRE,205,2004,0
4590,IRE,205,2005,0
4591,IRE,205,2006,0
4592,IRE,205,2007,0
4593,IRE,205,2008,0
4594,IRE,205,2009,0
4595,IRE,205,2010,0
4596,IRE,205,2011,0
4597,IRE,205,2012,0
4598,IRE,205,2013,0
4599,IRE,205,2014,0
4600,IRE,205,2015,0
4601,IRE,205,2016,0
4602,IRE,205,2017,0
4603,IRE,205,2018,0
4604,NTH,210,1815,0
4605,NTH,210,1816,0
4606,NTH,210,1817,0
4607,NTH,210,1818,0
4608,NTH,210,1819,0
4609,NTH,210,1820,0
4610,NTH,210,1821,0
4611,NTH,210,1822,0
4612,NTH,210,1823,0
4613,NTH,210,1824,0
4614,NTH,210,1825,0
4615,NTH,210,1826,0
4616,NTH,210,1827,0
4617,NTH,210,1828,0
4618,NTH,210,1829,0
4619,NTH,210,1830,0
4620,NTH,210,1831,0
4621,NTH,210,1832,0
4622,NTH,210,1833,0
4623,NTH,210,1834,0
4624,NTH,210,1835,0
4625,NTH,210,1836,0
4626,NTH,210,1837,0
4627,NTH,210,1838,0
4628,NTH,210,1839,0
4629,NTH,210,1840,0
4630,NTH,210,1841,0
4631,NTH,210,1842,0
4632,NTH,210,1843,0
4633,NTH,210,1844,0
4634,NTH,210,1845,0
4635,NTH,210,1846,0
4636,NTH,210,1847,0
4637,NTH,210,1848,0
4638,NTH,210,1849,0
4639,NTH,210,1850,0
4640,NTH,210,1851,0
4641,NTH,210,1852,0
4642,NTH,210,1853,0
4643,NTH,210,1854,0
4644,NTH,210,1855,0
4645,NTH,210,1856,0
4646,NTH,210,1857,0
4647,NTH,210,1858,0
4648,NTH,210,1859,0
4649,NTH,210,1860,0
4650,NTH,210,1861,0
4651,NTH,210,1862,0
4652,NTH,210,1863,0
4653,NTH,210,1864,0
4654,NTH,210,1865,0
4655,NTH,210,1866,0
4656,NTH,210,1867,0
4657,NTH,210,1868,0
4658,NTH,210,1869,0
4659,NTH,210,1870,0
4660,NTH,210,1871,0
4661,NTH,210,1872,0
4662,NTH,210,1873,0
4663,NTH,210,1874,0
4664,NTH,210,1875,0
4665,NTH,210,1876,0
4666,NTH,210,1877,0
4667,NTH,210,1878,0
4668,NTH,210,1879,0
4669,NTH,210,1880,0
4670,NTH,210,1881,0
4671,NTH,210,1882,0
4672,NTH,210,1883,0
4673,NTH,210,1884,0
4674,NTH,210,1885,0
4675,NTH,210,1886,0
4676,NTH,210,1887,0
4677,NTH,210,1888,0
4678,NTH,210,1889,0
4679,NTH,210,1890,0
4680,NTH,210,1891,0
4681,NTH,210,1892,0
4682,NTH,210,1893,0
4683,NTH,210,1894,0
4684,NTH,210,1895,0
4685,NTH,210,1896,0
4686,NTH,210,1897,0
4687,NTH,210,1898,0
4688,NTH,210,1899,0
4689,NTH,210,1900,0
4690,NTH,210,1901,0
4691,NTH,210,1902,0
4692,NTH,210,1903,0
4693,NTH,210,1904,0
4694,NTH,210,1905,0
4695,NTH,210,1906,0
4696,NTH,210,1907,0
4697,NTH,210,1908,0
4698,NTH,210,1909,0
4699,NTH,210,1910,0
4700,NTH,210,1911,0
4701,NTH,210,1912,0
4702,NTH,210,1913,0
4703,NTH,210,1914,0
4704,NTH,210,1915,0
4705,NTH,210,1916,0
4706,NTH,210,1917,0
4707,NTH,210,1918,0
4708,NTH,210,1919,0
4709,NTH,210,1920,0
4710,NTH,210,1921,0
4711,NTH,210,1922,0
4712,NTH,210,1923,0
4713,NTH,210,1924,0
4714,NTH,210,1925,0
4715,NTH,210,1926,0
4716,NTH,210,1927,0
4717,NTH,210,1928,0
4718,NTH,210,1929,0
4719,NTH,210,1930,0
4720,NTH,210,1931,0
4721,NTH,210,1932,0
4722,NTH,210,1933,0
4723,NTH,210,1934,0
4724,NTH,210,1935,0
4725,NTH,210,1936,0
4726,NTH,210,1937,0
4727,NTH,210,1938,0
4728,NTH,210,1939,0
4729,NTH,210,1940,0
4730,NTH,210,1941,0
4731,NTH,210,1942,0
4732,NTH,210,1943,0
4733,NTH,210,1944,0
4734,NTH,210,1945,0
4735,NTH,210,1946,0
4736,NTH,210,1947,0
4737,NTH,210,1948,0
4738,NTH,210,1949,0
4739,NTH,210,1950,0
4740,NTH,210,1951,0
4741,NTH,210,1952,0
4742,NTH,210,1953,0
4743,NTH,210,1954,0
4744,NTH,210,1955,0
4745,NTH,210,1956,0
4746,NTH,210,1957,0
4747,NTH,210,1958,0
4748,NTH,210,1959,0
4749,NTH,210,1960,0
4750,NTH,210,1961,0
4751,NTH,210,1962,0
4752,NTH,210,1963,0
4753,NTH,210,1964,0
4754,NTH,210,1965,0
4755,NTH,210,1966,0
4756,NTH,210,1967,0
4757,NTH,210,1968,0
4758,NTH,210,1969,0
4759,NTH,210,1970,0
4760,NTH,210,1971,0
4761,NTH,210,1972,0
4762,NTH,210,1973,0
4763,NTH,210,1974,0
4764,NTH,210,1975,0
4765,NTH,210,1976,0
4766,NTH,210,1977,0
4767,NTH,210,1978,0
4768,NTH,210,1979,0
4769,NTH,210,1980,0
4770,NTH,210,1981,0
4771,NTH,210,1982,0
4772,NTH,210,1983,0
4773,NTH,210,1984,0
4774,NTH,210,1985,0
4775,NTH,210,1986,0
4776,NTH,210,1987,0
4777,NTH,210,1988,0
4778,NTH,210,1989,0
4779,NTH,210,1990,0
4780,NTH,210,1991,0
4781,NTH,210,1992,0
4782,NTH,210,1993,0
4783,NTH,210,1994,0
4784,NTH,210,1995,0
4785,NTH,210,1996,0
4786,NTH,210,1997,0
4787,NTH,210,1998,0
4788,NTH,210,1999,0
4789,NTH,210,2000,0
4790,NTH,210,2001,0
4791,NTH,210,2002,0
4792,NTH,210,2003,0
4793,NTH,210,2004,0
4794,NTH,210,2005,0
4795,NTH,210,2006,0
4796,NTH,210,2007,0
4797,NTH,210,2008,0
4798,NTH,210,2009,0
4799,NTH,210,2010,0
4800,NTH,210,2011,0
4801,NTH,210,2012,0
4802,NTH,210,2013,0
4803,NTH,210,2014,0
4804,NTH,210,2015,0
4805,NTH,210,2016,0
4806,NTH,210,2017,0
4807,NTH,210,2018,0
4808,BEL,211,1830,1
4809,BEL,211,1831,1
4810,BEL,211,1832,1
4811,BEL,211,1833,1
4812,BEL,211,1834,1
4813,BEL,211,1835,1
4814,BEL,211,1836,1
4815,BEL,211,1837,1
4816,BEL,211,1838,1
4817,BEL,211,1839,1
4818,BEL,211,1840,1
4819,BEL,211,1841,1
4820,BEL,211,1842,1
4821,BEL,211,1843,1
4822,BEL,211,1844,1
4823,BEL,211,1845,1
4824,BEL,211,1846,1
4825,BEL,211,1847,1
4826,BEL,211,1848,1
4827,BEL,211,1849,1
4828,BEL,211,1850,1
4829,BEL,211,1851,1
4830,BEL,211,1852,1
4831,BEL,211,1853,1
4832,BEL,211,1854,1
4833,BEL,211,1855,1
4834,BEL,211,1856,1
4835,BEL,211,1857,1
4836,BEL,211,1858,1
4837,BEL,211,1859,1
4838,BEL,211,1860,1
4839,BEL,211,1861,1
4840,BEL,211,1862,1
4841,BEL,211,1863,1
4842,BEL,211,1864,1
4843,BEL,211,1865,1
4844,BEL,211,1866,1
4845,BEL,211,1867,1
4846,BEL,211,1868,1
4847,BEL,211,1869,1
4848,BEL,211,1870,1
4849,BEL,211,1871,1
4850,BEL,211,1872,1
4851,BEL,211,1873,1
4852,BEL,211,1874,1
4853,BEL,211,1875,1
4854,BEL,211,1876,1
4855,BEL,211,1877,1
4856,BEL,211,1878,1
4857,BEL,211,1879,1
4858,BEL,211,1880,1
4859,BEL,211,1881,1
4860,BEL,211,1882,1
4861,BEL,211,1883,1
4862,BEL,211,1884,1
4863,BEL,211,1885,1
4864,BEL,211,1886,1
4865,BEL,211,1887,1
4866,BEL,211,1888,1
4867,BEL,211,1889,1
4868,BEL,211,1890,1
4869,BEL,211,1891,1
4870,BEL,211,1892,1
4871,BEL,211,1893,1
4872,BEL,211,1894,1
4873,BEL,211,1895,1
4874,BEL,211,1896,1
4875,BEL,211,1897,1
4876,BEL,211,1898,1
4877,BEL,211,1899,1
4878,BEL,211,1900,1
4879,BEL,211,1901,1
4880,BEL,211,1902,1
4881,BEL,211,1903,1
4882,BEL,211,1904,1
4883,BEL,211,1905,1
4884,BEL,211,1906,1
4885,BEL,211,1907,1
4886,BEL,211,1908,1
4887,BEL,211,1909,1
4888,BEL,211,1910,1
4889,BEL,211,1911,1
4890,BEL,211,1912,1
4891,BEL,211,1913,1
4892,BEL,211,1914,1
4893,BEL,211,1915,1
4894,BEL,211,1916,1
4895,BEL,211,1917,1
4896,BEL,211,1918,1
4897,BEL,211,1919,1
4898,BEL,211,1920,1
4899,BEL,211,1921,1
4900,BEL,211,1922,1
4901,BEL,211,1923,1
4902,BEL,211,1924,1
4903,BEL,211,1925,1
4904,BEL,211,1926,1
4905,BEL,211,1927,1
4906,BEL,211,1928,1
4907,BEL,211,1929,1
4908,BEL,211,1930,1
4909,BEL,211,1931,1
4910,BEL,211,1932,1
4911,BEL,211,1933,1
4912,BEL,211,1934,1
4913,BEL,211,1935,1
4914,BEL,211,1936,1
4915,BEL,211,1937,1
4916,BEL,211,1938,1
4917,BEL,211,1939,1
4918,BEL,211,1940,1
4919,BEL,211,1941,1
4920,BEL,211,1942,1
4921,BEL,211,1943,1
4922,BEL,211,1944,1
4923,BEL,211,1945,1
4924,BEL,211,1946,1
4925,BEL,211,1947,1
4926,BEL,211,1948,1
4927,BEL,211,1949,1
4928,BEL,211,1950,1
4929,BEL,211,1951,1
4930,BEL,211,1952,1
4931,BEL,211,1953,1
4932,BEL,211,1954,1
4933,BEL,211,1955,1
4934,BEL,211,1956,1
4935,BEL,211,1957,1
4936,BEL,211,1958,1
4937,BEL,211,1959,1
4938,BEL,211,1960,1
4939,BEL,211,1961,1
4940,BEL,211,1962,1
4941,BEL,211,1963,1
4942,BEL,211,1964,1
4943,BEL,211,1965,1
4944,BEL,211,1966,1
4945,BEL,211,1967,1
4946,BEL,211,1968,1
4947,BEL,211,1969,1
4948,BEL,211,1970,1
4949,BEL,211,1971,1
4950,BEL,211,1972,1
4951,BEL,211,1973,1
4952,BEL,211,1974,1
4953,BEL,211,1975,1
4954,BEL,211,1976,1
4955,BEL,211,1977,1
4956,BEL,211,1978,1
4957,BEL,211,1979,1
4958,BEL,211,1980,1
4959,BEL,211,1981,1
4960,BEL,211,1982,1
4961,BEL,211,1983,1
4962,BEL,211,1984,1
4963,BEL,211,1985,1
4964,BEL,211,1986,1
4965,BEL,211,1987,1
4966,BEL,211,1988,1
4967,BEL,211,1989,1
4968,BEL,211,1990,1
4969,BEL,211,1991,1
4970,BEL,211,1992,1
4971,BEL,211,1993,1
4972,BEL,211,1994,1
4973,BEL,211,1995,1
4974,BEL,211,1996,1
4975,BEL,211,1997,1
4976,BEL,211,1998,1
4977,BEL,211,1999,1
4978,BEL,211,2000,1
4979,BEL,211,2001,1
4980,BEL,211,2002,1
4981,BEL,211,2003,1
4982,BEL,211,2004,1
4983,BEL,211,2005,1
4984,BEL,211,2006,1
4985,BEL,211,2007,1
4986,BEL,211,2008,1
4987,BEL,211,2009,1
4988,BEL,211,2010,1
4989,BEL,211,2011,1
4990,BEL,211,2012,1
4991,BEL,211,2013,1
4992,BEL,211,2014,1
4993,BEL,211,2015,1
4994,BEL,211,2016,1
4995,BEL,211,2017,1
4996,BEL,211,2018,1
4997,LUX,212,1867,0
4998,LUX,212,1868,0
4999,LUX,212,1869,0
5000,LUX,212,1870,0
5001,LUX,212,1871,0
5002,LUX,212,1872,0
5003,LUX,212,1873,0
5004,LUX,212,1874,0
5005,LUX,212,1875,0
5006,LUX,212,1876,0
5007,LUX,212,1877,0
5008,LUX,212,1878,0
5009,LUX,212,1879,0
5010,LUX,212,1880,0
5011,LUX,212,1881,0
5012,LUX,212,1882,0
5013,LUX,212,1883,0
5014,LUX,212,1884,0
5015,LUX,212,1885,0
5016,LUX,212,1886,0
5017,LUX,212,1887,0
5018,LUX,212,1888,0
5019,LUX,212,1889,0
5020,LUX,212,1890,0
5021,LUX,212,1891,0
5022,LUX,212,1892,0
5023,LUX,212,1893,0
5024,LUX,212,1894,0
5025,LUX,212,1895,0
5026,LUX,212,1896,0
5027,LUX,212,1897,0
5028,LUX,212,1898,0
5029,LUX,212,1899,0
5030,LUX,212,1900,0
5031,LUX,212,1901,0
5032,LUX,212,1902,0
5033,LUX,212,1903,0
5034,LUX,212,1904,0
5035,LUX,212,1905,0
5036,LUX,212,1906,0
5037,LUX,212,1907,0
5038,LUX,212,1908,0
5039,LUX,212,1909,0
5040,LUX,212,1910,0
5041,LUX,212,1911,0
5042,LUX,212,1912,0
5043,LUX,212,1913,0
5044,LUX,212,1914,0
5045,LUX,212,1915,0
5046,LUX,212,1916,0
5047,LUX,212,1917,0
5048,LUX,212,1918,0
5049,LUX,212,1919,0
5050,LUX,212,1920,0
5051,LUX,212,1921,0
5052,LUX,212,1922,0
5053,LUX,212,1923,0
5054,LUX,212,1924,0
5055,LUX,212,1925,0
5056,LUX,212,1926,0
5057,LUX,212,1927,0
5058,LUX,212,1928,0
5059,LUX,212,1929,0
5060,LUX,212,1930,0
5061,LUX,212,1931,0
5062,LUX,212,1932,0
5063,LUX,212,1933,0
5064,LUX,212,1934,0
5065,LUX,212,1935,0
5066,LUX,212,1936,0
5067,LUX,212,1937,0
5068,LUX,212,1938,0
5069,LUX,212,1939,0
5070,LUX,212,1940,0
5071,LUX,212,1941,0
5072,LUX,212,1942,0
5073,LUX,212,1943,0
5074,LUX,212,1944,0
5075,LUX,212,1945,0
5076,LUX,212,1946,0
5077,LUX,212,1947,0
5078,LUX,212,1948,0
5079,LUX,212,1949,0
5080,LUX,212,1950,0
5081,LUX,212,1951,0
5082,LUX,212,1952,0
5083,LUX,212,1953,0
5084,LUX,212,1954,0
5085,LUX,212,1955,0
5086,LUX,212,1956,0
5087,LUX,212,1957,0
5088,LUX,212,1958,0
5089,LUX,212,1959,0
5090,LUX,212,1960,0
5091,LUX,212,1961,0
5092,LUX,212,1962,0
5093,LUX,212,1963,0
5094,LUX,212,1964,0
5095,LUX,212,1965,0
5096,LUX,212,1966,0
5097,LUX,212,1967,0
5098,LUX,212,1968,0
5099,LUX,212,1969,0
5100,LUX,212,1970,0
5101,LUX,212,1971,0
5102,LUX,212,1972,0
5103,LUX,212,1973,0
5104,LUX,212,1974,0
5105,LUX,212,1975,0
5106,LUX,212,1976,0
5107,LUX,212,1977,0
5108,LUX,212,1978,0
5109,LUX,212,1979,0
5110,LUX,212,1980,0
5111,LUX,212,1981,0
5112,LUX,212,1982,0
5113,LUX,212,1983,0
5114,LUX,212,1984,0
5115,LUX,212,1985,0
5116,LUX,212,1986,0
5117,LUX,212,1987,0
5118,LUX,212,1988,0
5119,LUX,212,1989,0
5120,LUX,212,1990,0
5121,LUX,212,1991,0
5122,LUX,212,1992,0
5123,LUX,212,1993,0
5124,LUX,212,1994,0
5125,LUX,212,1995,0
5126,LUX,212,1996,0
5127,LUX,212,1997,0
5128,LUX,212,1998,0
5129,LUX,212,1999,0
5130,LUX,212,2000,0
5131,LUX,212,2001,0
5132,LUX,212,2002,0
5133,LUX,212,2003,0
5134,LUX,212,2004,0
5135,LUX,212,2005,0
5136,LUX,212,2006,0
5137,LUX,212,2007,0
5138,LUX,212,2008,0
5139,LUX,212,2009,0
5140,LUX,212,2010,0
5141,LUX,212,2011,0
5142,LUX,212,2012,0
5143,LUX,212,2013,0
5144,LUX,212,2014,0
5145,LUX,212,2015,0
5146,LUX,212,2016,0
5147,LUX,212,2017,0
5148,LUX,212,2018,0
5149,FRN,220,1800,0
5150,FRN,220,1801,0
5151,FRN,220,1802,0
5152,FRN,220,1803,0
5153,FRN,220,1804,0
5154,FRN,220,1805,0
5155,FRN,220,1806,0
5156,FRN,220,1807,0
