id,stateabb,ccode,year,polyarchy,libdem,democ
1,HRG,0,1789,0.028,.,.
2,BRW,0,1789,.,.,.
3,OLD,0,1789,.,.,.
4,SPD,0,1789,0.018,0.061,.
5,HRG,0,1790,0.028,.,.
6,BRW,0,1790,.,.,.
7,OLD,0,1790,.,.,.
8,SPD,0,1790,0.018,0.061,.
9,HRG,0,1791,0.028,.,.
10,BRW,0,1791,.,.,.
11,OLD,0,1791,.,.,.
12,SPD,0,1791,0.018,0.061,.
13,HRG,0,1792,0.028,.,.
14,BRW,0,1792,.,.,.
15,OLD,0,1792,.,.,.
16,SPD,0,1792,0.018,0.061,.
17,HRG,0,1793,0.028,.,.
18,BRW,0,1793,.,.,.
19,OLD,0,1793,.,.,.
20,SPD,0,1793,0.018,0.061,.
21,HRG,0,1794,0.028,.,.
22,BRW,0,1794,.,.,.
23,OLD,0,1794,.,.,.
24,SPD,0,1794,0.018,0.061,.
25,HRG,0,1795,0.028,.,.
26,BRW,0,1795,.,.,.
27,OLD,0,1795,.,.,.
28,SPD,0,1795,0.018,0.061,.
29,HRG,0,1796,0.028,.,.
30,BRW,0,1796,.,.,.
31,OLD,0,1796,.,.,.
32,SPD,0,1796,0.018,0.061,.
33,HRG,0,1797,0.028,.,.
34,BRW,0,1797,.,.,.
35,OLD,0,1797,.,.,.
36,SPD,0,1797,0.018,0.061,.
37,HRG,0,1798,0.028,.,.
38,BRW,0,1798,.,.,.
39,OLD,0,1798,.,.,.
40,SPD,0,1798,0.018,0.061,.
41,HRG,0,1799,0.028,.,.
42,BRW,0,1799,.,.,.
43,OLD,0,1799,.,.,.
44,SPD,0,1799,0.02,0.073,.
45,HRG,0,1800,0.028,.,.
46,BRW,0,1800,.,.,.
47,OLD,0,1800,.,.,.
48,SPD,0,1800,0.018,0.071,.
49,HRG,0,1801,0.028,.,.
50,BRW,0,1801,.,.,.
51,OLD,0,1801,.,.,.
52,SPD,0,1801,.,.,.
53,HRG,0,1802,0.028,.,.
54,BRW,0,1802,.,.,.
55,OLD,0,1802,.,.,.
56,SPD,0,1802,0.02,0.07,.
57,HRG,0,1803,0.028,.,.
58,BRW,0,1803,.,.,.
59,OLD,0,1803,.,.,.
60,SPD,0,1803,0.015,0.058,.
61,HRG,0,1804,0.025,.,.
62,BRW,0,1804,.,.,.
63,OLD,0,1804,.,.,.
64,SPD,0,1804,0.015,0.058,.
65,HRG,0,1805,0.025,.,.
66,BRW,0,1805,.,.,.
67,OLD,0,1805,.,.,.
68,SPD,0,1805,0.015,0.058,.
69,HRG,0,1806,0.01,.,.
70,BRW,0,1806,.,.,.
71,OLD,0,1806,.,.,.
72,NSS,0,1806,.,.,.
73,SPD,0,1806,0.015,0.058,.
74,HRG,0,1807,0.01,.,.
75,BRW,0,1807,.,.,.
76,OLD,0,1807,.,.,.
77,NSS,0,1807,0.026,0.08,.
78,SPD,0,1807,0.015,0.058,.
79,HRG,0,1808,0.01,.,.
80,OLD,0,1808,.,.,.
81,NSS,0,1808,0.026,0.082,.
82,SPD,0,1808,0.015,0.058,.
83,HRG,0,1809,0.01,.,.
84,OLD,0,1809,.,.,.
85,SAX,0,1809,.,.,.
86,NSS,0,1809,0.026,0.082,.
87,SPD,0,1809,0.015,0.058,.
88,HRG,0,1810,0.01,.,.
89,OLD,0,1810,.,.,.
90,SAX,0,1810,.,.,.
91,NSS,0,1810,0.026,0.082,.
92,SPD,0,1810,0.015,0.058,.
93,HRG,0,1811,0.009,.,.
94,SAX,0,1811,.,.,.
95,NSS,0,1811,0.026,0.082,.
96,SPD,0,1811,0.015,0.058,.
97,HRG,0,1812,0.009,.,.
98,SAX,0,1812,.,.,.
99,NSS,0,1812,0.026,0.082,.
100,SPD,0,1812,0.015,0.058,.
101,HRG,0,1813,0.009,.,.
102,BRW,0,1813,.,.,.
103,OLD,0,1813,.,.,.
104,SAX,0,1813,.,.,.
105,NSS,0,1813,0.028,0.087,.
106,SPD,0,1813,0.015,0.058,.
107,HRG,0,1814,0.025,.,.
108,BRW,0,1814,.,.,.
109,OLD,0,1814,.,.,.
110,SAX,0,1814,.,.,.
111,NSS,0,1814,0.037,0.113,.
112,SPD,0,1814,0.015,0.058,.
113,HRG,0,1815,0.029,.,.
114,BRW,0,1815,.,.,.
115,OLD,0,1815,.,.,.
116,SAX,0,1815,0.051,0.089,.
117,NSS,0,1815,0.034,0.113,.
118,SPD,0,1815,0.018,0.061,.
119,HRG,0,1816,0.029,.,.
120,BRW,0,1816,.,.,.
121,OLD,0,1816,.,.,.
122,SAX,0,1816,0.064,0.091,.
123,NSS,0,1816,0.034,0.113,.
124,SPD,0,1816,0.018,0.061,.
125,HRG,0,1817,0.029,.,.
126,BRW,0,1817,.,.,.
127,OLD,0,1817,.,.,.
128,SAX,0,1817,0.072,0.095,.
129,NSS,0,1817,0.034,0.117,.
130,SPD,0,1817,0.018,0.061,.
131,HRG,0,1818,0.029,.,.
132,BRW,0,1818,.,.,.
133,OLD,0,1818,.,.,.
134,SAX,0,1818,0.072,0.095,.
135,NSS,0,1818,0.145,0.2,.
136,SPD,0,1818,0.018,0.061,.
137,HRG,0,1819,0.02,.,.
138,BRW,0,1819,.,.,.
139,OLD,0,1819,.,.,.
140,SAX,0,1819,0.068,0.094,.
141,NSS,0,1819,0.139,0.191,.
142,SPD,0,1819,0.018,0.061,.
143,HRG,0,1820,0.02,.,.
144,BRW,0,1820,.,.,.
145,OLD,0,1820,.,.,.
146,SAX,0,1820,0.064,0.094,.
147,NSS,0,1820,0.136,0.191,.
148,SPD,0,1820,0.018,0.061,.
149,HRG,0,1821,0.02,.,.
150,BRW,0,1821,.,.,.
151,OLD,0,1821,.,.,.
152,SAX,0,1821,0.064,0.094,.
153,NSS,0,1821,0.136,0.189,.
154,SPD,0,1821,0.018,0.061,.
155,HRG,0,1822,0.02,.,.
156,BRW,0,1822,.,.,.
157,OLD,0,1822,.,.,.
158,SAX,0,1822,0.065,0.094,.
159,NSS,0,1822,0.136,0.189,.
160,SPD,0,1822,0.018,0.061,.
161,HRG,0,1823,0.02,.,.
162,BRW,0,1823,.,.,.
163,OLD,0,1823,.,.,.
164,SAX,0,1823,0.065,0.094,.
165,NSS,0,1823,0.136,0.189,.
166,SPD,0,1823,0.018,0.061,.
167,HRG,0,1824,0.02,.,.
168,BRW,0,1824,.,.,.
169,OLD,0,1824,.,.,.
170,SAX,0,1824,0.065,0.094,.
171,NSS,0,1824,0.138,0.19,.
172,SPD,0,1824,0.018,0.061,.
173,HRG,0,1825,0.02,.,.
174,BRW,0,1825,.,.,.
175,OLD,0,1825,.,.,.
176,SAX,0,1825,0.063,0.094,.
177,NSS,0,1825,0.125,0.186,.
178,SPD,0,1825,0.018,0.061,.
179,HRG,0,1826,0.02,.,.
180,BRW,0,1826,.,.,.
181,OLD,0,1826,.,.,.
182,SAX,0,1826,0.063,0.094,.
183,NSS,0,1826,0.125,0.186,.
184,SPD,0,1826,0.018,0.061,.
185,HRG,0,1827,0.02,.,.
186,BRW,0,1827,.,.,.
187,OLD,0,1827,.,.,.
188,SAX,0,1827,0.063,0.094,.
189,NSS,0,1827,0.125,0.186,.
190,SPD,0,1827,0.018,0.061,.
191,HRG,0,1828,0.02,.,.
192,BRW,0,1828,.,.,.
193,OLD,0,1828,.,.,.
194,SAX,0,1828,0.064,0.094,.
195,NSS,0,1828,0.125,0.186,.
196,SPD,0,1828,0.018,0.061,.
197,HRG,0,1829,0.02,.,.
198,BRW,0,1829,.,.,.
199,OLD,0,1829,.,.,.
200,SAX,0,1829,0.064,0.094,.
201,NSS,0,1829,0.123,0.186,.
202,SPD,0,1829,0.018,0.061,.
203,HRG,0,1830,0.023,.,.
204,BRW,0,1830,.,.,.
205,OLD,0,1830,.,.,.
206,SAX,0,1830,0.064,0.097,.
207,NSS,0,1830,0.125,0.187,.
208,SPD,0,1830,0.018,0.061,.
209,HRG,0,1831,0.023,.,.
210,BRW,0,1831,.,.,.
211,OLD,0,1831,.,.,.
212,SAX,0,1831,0.069,0.098,.
213,NSS,0,1831,0.122,0.185,.
214,SPD,0,1831,0.018,0.066,.
215,HRG,0,1832,0.023,.,.
216,BRW,0,1832,0.125,0.158,.
217,OLD,0,1832,.,.,.
218,SAX,0,1832,0.071,0.099,.
219,NSS,0,1832,0.124,0.181,.
220,SPD,0,1832,0.02,0.066,.
221,HRG,0,1833,0.023,.,.
222,BRW,0,1833,0.128,0.154,.
223,OLD,0,1833,.,.,.
224,SAX,0,1833,0.071,0.099,.
225,NSS,0,1833,0.126,0.187,.
226,SPD,0,1833,0.02,0.066,.
227,HRG,0,1834,0.023,.,.
228,BRW,0,1834,0.127,0.164,.
229,OLD,0,1834,.,.,.
230,SAX,0,1834,0.072,0.098,.
231,NSS,0,1834,0.126,0.187,.
232,SPD,0,1834,0.02,0.066,.
233,HRG,0,1835,0.023,.,.
234,BRW,0,1835,0.12,0.162,.
235,OLD,0,1835,.,.,.
236,SAX,0,1835,0.072,0.098,.
237,NSS,0,1835,0.126,0.187,.
238,SPD,0,1835,0.02,0.066,.
239,HRG,0,1836,0.023,.,.
240,BRW,0,1836,0.12,0.162,.
241,OLD,0,1836,.,.,.
242,SAX,0,1836,0.072,0.098,.
243,NSS,0,1836,0.126,0.187,.
244,SPD,0,1836,0.02,0.066,.
245,HRG,0,1837,0.023,.,.
246,BRW,0,1837,0.113,0.161,.
247,OLD,0,1837,.,.,.
248,SAX,0,1837,0.072,0.098,.
249,NSS,0,1837,0.127,0.188,.
250,SPD,0,1837,0.02,0.066,.
251,HRG,0,1838,0.023,.,.
252,BRW,0,1838,0.113,0.161,.
253,OLD,0,1838,.,.,.
254,SAX,0,1838,0.072,0.098,.
255,NSS,0,1838,0.127,0.188,.
256,SPD,0,1838,0.02,0.066,.
257,HRG,0,1839,0.023,.,.
258,BRW,0,1839,0.113,0.161,.
259,OLD,0,1839,.,.,.
260,SAX,0,1839,0.068,0.101,.
261,NSS,0,1839,0.128,0.188,.
262,SPD,0,1839,0.02,0.066,.
263,HRG,0,1840,0.03,.,.
264,BRW,0,1840,0.127,0.166,.
265,OLD,0,1840,.,.,.
266,SAX,0,1840,0.066,0.1,.
267,NSS,0,1840,0.128,0.188,.
268,SPD,0,1840,0.02,0.066,.
269,HRG,0,1841,0.03,.,.
270,BRW,0,1841,0.121,0.168,.
271,OLD,0,1841,.,.,.
272,SAX,0,1841,0.066,0.1,.
273,NSS,0,1841,0.128,0.188,.
274,SPD,0,1841,0.02,0.066,.
275,HRG,0,1842,0.034,.,.
276,BRW,0,1842,0.129,0.169,.
277,OLD,0,1842,.,.,.
278,SAX,0,1842,0.066,0.1,.
279,NSS,0,1842,0.128,0.188,.
280,SPD,0,1842,0.02,0.066,.
281,HRG,0,1843,0.034,.,.
282,BRW,0,1843,0.129,0.169,.
283,OLD,0,1843,.,.,.
284,SAX,0,1843,0.066,0.1,.
285,NSS,0,1843,0.128,0.188,.
286,SPD,0,1843,0.02,0.066,.
287,HRG,0,1844,0.034,.,.
288,BRW,0,1844,0.129,0.169,.
289,OLD,0,1844,.,.,.
290,SAX,0,1844,0.066,0.1,.
291,NSS,0,1844,0.128,0.188,.
292,SPD,0,1844,0.02,0.066,.
293,HRG,0,1845,0.034,.,.
294,BRW,0,1845,0.124,0.168,.
295,OLD,0,1845,.,.,.
296,SAX,0,1845,0.066,0.1,.
297,NSS,0,1845,0.128,0.188,.
298,SPD,0,1845,0.02,0.066,.
299,HRG,0,1846,0.034,.,.
300,BRW,0,1846,0.114,0.166,.
301,OLD,0,1846,.,.,.
302,SAX,0,1846,0.065,0.1,.
303,NSS,0,1846,0.135,0.19,.
304,SPD,0,1846,0.02,0.066,.
305,HRG,0,1847,0.034,.,.
306,BRW,0,1847,0.114,0.15,.
307,OLD,0,1847,.,.,.
308,SAX,0,1847,0.065,0.1,.
309,NSS,0,1847,0.135,0.19,.
310,SPD,0,1847,0.02,0.066,.
311,HRG,0,1848,0.129,.,.
312,BRW,0,1848,0.174,0.188,.
313,OLD,0,1848,0.254,0.141,.
314,SAX,0,1848,0.066,0.1,.
315,NSS,0,1848,0.282,0.252,.
316,SPD,0,1848,0.119,0.104,.
317,HRG,0,1849,0.124,.,.
318,BRW,0,1849,0.175,0.176,.
319,OLD,0,1849,0.253,0.141,.
320,SAX,0,1849,0.091,0.104,.
321,NSS,0,1849,0.294,0.257,.
322,SPD,0,1849,0.2,0.132,.
323,HRG,0,1850,0.124,.,.
324,BRW,0,1850,0.139,0.171,.
325,OLD,0,1850,0.253,0.141,.
326,SAX,0,1850,0.069,0.101,.
327,NSS,0,1850,0.25,0.236,.
328,SPD,0,1850,0.206,0.134,.
329,HRG,0,1851,0.124,.,.
330,BRW,0,1851,0.139,0.172,.
331,OLD,0,1851,0.253,0.141,.
332,SAX,0,1851,0.069,0.101,.
333,NSS,0,1851,0.16,0.199,.
334,SPD,0,1851,0.206,0.134,.
335,HRG,0,1852,0.124,.,.
336,BRW,0,1852,0.131,0.168,.
337,OLD,0,1852,0.253,0.141,.
338,SAX,0,1852,0.069,0.101,.
339,NSS,0,1852,0.14,0.194,.
340,SPD,0,1852,0.206,0.134,.
341,HRG,0,1853,0.124,.,.
342,BRW,0,1853,0.131,0.168,.
343,OLD,0,1853,0.253,0.141,.
344,SAX,0,1853,0.069,0.101,.
345,NSS,0,1853,0.144,0.198,.
346,SPD,0,1853,0.206,0.134,.
347,HRG,0,1854,0.124,.,.
348,BRW,0,1854,0.131,0.168,.
349,OLD,0,1854,0.253,0.141,.
350,SAX,0,1854,0.069,0.101,.
351,NSS,0,1854,0.152,0.2,.
352,SPD,0,1854,0.205,0.134,.
353,HRG,0,1855,0.124,.,.
354,BRW,0,1855,0.138,0.17,.
355,OLD,0,1855,0.253,0.141,.
356,SAX,0,1855,0.069,0.101,.
357,NSS,0,1855,0.16,0.203,.
358,SPD,0,1855,0.205,0.134,.
359,HRG,0,1856,0.124,.,.
360,BRW,0,1856,0.145,0.167,.
361,OLD,0,1856,0.253,0.141,.
362,SAX,0,1856,0.065,0.1,.
363,NSS,0,1856,0.165,0.204,.
364,SPD,0,1856,0.205,0.134,.
365,HRG,0,1857,0.124,.,.
366,BRW,0,1857,0.159,0.175,.
367,OLD,0,1857,0.253,0.141,.
368,SAX,0,1857,0.071,0.101,.
369,NSS,0,1857,0.165,0.204,.
370,SPD,0,1857,0.206,0.134,.
371,HRG,0,1858,0.124,.,.
372,BRW,0,1858,0.189,0.185,.
373,OLD,0,1858,0.253,0.141,.
374,SAX,0,1858,0.071,0.101,.
375,NSS,0,1858,0.175,0.208,.
376,SPD,0,1858,0.207,0.135,.
377,HRG,0,1859,0.156,.,.
378,BRW,0,1859,0.193,0.185,.
379,OLD,0,1859,0.253,0.141,.
380,SAX,0,1859,0.071,0.101,.
381,NSS,0,1859,0.175,0.208,.
382,SPD,0,1859,0.207,0.135,.
383,HRG,0,1860,0.185,.,.
384,BRW,0,1860,0.197,0.183,.
385,OLD,0,1860,0.253,0.141,.
386,SAX,0,1860,0.071,0.101,.
387,NSS,0,1860,0.187,0.212,.
388,SPD,0,1860,0.212,0.136,.
389,TSC,0,1861,0.128,0.11,.
390,PPS,0,1861,0.027,0.026,.
391,HRG,0,1861,0.185,.,.
392,BRW,0,1861,0.202,0.185,.
393,OLD,0,1861,0.253,0.141,.
394,SAX,0,1861,0.071,0.101,.
395,NSS,0,1861,0.189,0.212,.
396,SPD,0,1861,0.212,0.136,.
397,PPS,0,1862,0.027,0.026,.
398,HRG,0,1862,0.185,.,.
399,BRW,0,1862,0.204,0.186,.
400,OLD,0,1862,0.253,0.141,.
401,SAX,0,1862,0.071,0.101,.
402,NSS,0,1862,0.189,0.212,.
403,PPS,0,1863,0.027,0.026,.
404,HRG,0,1863,0.187,.,.
405,BRW,0,1863,0.187,0.186,.
406,OLD,0,1863,0.253,0.141,.
407,SAX,0,1863,0.071,0.101,.
408,NSS,0,1863,0.193,0.214,.
409,PPS,0,1864,0.027,0.026,.
410,HRG,0,1864,0.187,.,.
411,BRW,0,1864,0.187,0.186,.
412,OLD,0,1864,0.253,0.141,.
413,SAX,0,1864,0.071,0.101,.
414,NSS,0,1864,0.184,0.211,.
415,PPS,0,1865,0.027,0.026,.
416,HRG,0,1865,0.187,.,.
417,BRW,0,1865,0.181,0.184,.
418,OLD,0,1865,0.253,0.141,.
419,SAX,0,1865,0.071,0.101,.
420,NSS,0,1865,0.195,0.214,.
421,PPS,0,1866,0.027,0.026,.
422,HRG,0,1866,0.191,.,.
423,BRW,0,1866,0.187,0.186,.
424,OLD,0,1866,0.253,0.141,.
425,SAX,0,1866,0.071,0.101,.
426,NSS,0,1866,0.19,0.213,.
427,PPS,0,1867,0.027,0.026,.
428,HRG,0,1867,0.191,.,.
429,BRW,0,1867,0.189,0.188,.
430,OLD,0,1867,0.253,0.141,.
431,SAX,0,1867,0.071,0.099,.
432,HDM,0,1868,0.177,0.169,.
433,PPS,0,1868,0.027,0.026,.
434,HDM,0,1869,0.177,0.169,.
435,PPS,0,1869,0.027,0.026,.
436,HDM,0,1870,0.185,0.17,.
437,PPS,0,1870,0.027,0.026,.
438,HDM,0,1871,0.185,0.17,.
439,SML,0,1900,0.036,0.098,.
440,HKG,0,1900,0.139,0.163,.
441,SML,0,1901,0.036,0.098,.
442,HKG,0,1901,0.139,0.163,.
443,SML,0,1902,0.036,0.098,.
444,HKG,0,1902,0.139,0.163,.
445,SML,0,1903,0.05,0.102,.
446,HKG,0,1903,0.139,0.163,.
447,SML,0,1904,0.05,0.102,.
448,HKG,0,1904,0.139,0.163,.
449,SML,0,1905,0.05,0.102,.
450,HKG,0,1905,0.139,0.163,.
451,SML,0,1906,0.05,0.102,.
452,HKG,0,1906,0.139,0.163,.
453,SML,0,1907,0.05,0.102,.
454,HKG,0,1907,0.139,0.163,.
455,SML,0,1908,0.05,0.102,.
456,HKG,0,1908,0.139,0.163,.
457,SML,0,1909,0.05,0.102,.
458,HKG,0,1909,0.139,0.163,.
459,SML,0,1910,0.05,0.102,.
460,HKG,0,1910,0.139,0.163,.
461,SML,0,1911,0.05,0.102,.
462,HKG,0,1911,0.139,0.163,.
463,SML,0,1912,0.05,0.102,.
464,HKG,0,1912,0.139,0.163,.
465,SML,0,1913,0.05,0.102,.
466,HKG,0,1913,0.139,0.163,.
467,SML,0,1914,0.05,0.102,.
468,HKG,0,1914,0.139,0.163,.
469,SML,0,1915,0.05,0.102,.
470,HKG,0,1915,0.139,0.163,.
471,SML,0,1916,0.05,0.102,.
472,HKG,0,1916,0.139,0.163,.
473,SML,0,1917,0.05,0.102,.
474,HKG,0,1917,0.139,0.163,.
475,SML,0,1918,0.05,0.102,.
476,HKG,0,1918,0.139,0.163,.
477,PSB,0,1918,0.075,0.099,.
478,SML,0,1919,0.05,0.102,.
479,HKG,0,1919,0.139,0.163,.
480,PSB,0,1919,0.077,0.099,.
481,SML,0,1920,0.05,0.103,.
482,HKG,0,1920,0.139,0.164,.
483,PSB,0,1920,0.139,0.111,.
484,SML,0,1921,0.05,0.103,.
485,HKG,0,1921,0.139,0.164,.
486,PSB,0,1921,0.139,0.111,.
487,SML,0,1922,0.05,0.104,.
488,HKG,0,1922,0.138,0.164,.
489,PSB,0,1922,0.139,0.111,.
490,SML,0,1923,0.05,0.105,.
491,HKG,0,1923,0.138,0.164,.
492,PSB,0,1923,0.169,0.119,.
493,SML,0,1924,0.05,0.105,.
494,HKG,0,1924,0.138,0.164,.
495,PSB,0,1924,0.143,0.112,.
496,SML,0,1925,0.05,0.105,.
497,HKG,0,1925,0.138,0.164,.
498,PSB,0,1925,0.143,0.112,.
499,SML,0,1926,0.05,0.105,.
500,HKG,0,1926,0.138,0.164,.
501,PSB,0,1926,0.143,0.112,.
502,SML,0,1927,0.05,0.105,.
503,HKG,0,1927,0.138,0.164,.
504,PSB,0,1927,0.143,0.112,.
505,SML,0,1928,0.05,0.105,.
506,HKG,0,1928,0.138,0.164,.
507,PSB,0,1928,0.143,0.112,.
508,SML,0,1929,0.05,0.105,.
509,HKG,0,1929,0.138,0.164,.
510,PSB,0,1929,0.143,0.112,.
511,SML,0,1930,0.05,0.107,.
512,HKG,0,1930,0.138,0.164,.
513,PSB,0,1930,0.143,0.112,.
514,SML,0,1931,0.05,0.107,.
515,HKG,0,1931,0.138,0.164,.
516,PSB,0,1931,0.143,0.112,.
517,SML,0,1932,0.05,0.107,.
518,HKG,0,1932,0.146,0.166,.
519,PSB,0,1932,0.143,0.112,.
520,SML,0,1933,0.05,0.107,.
521,HKG,0,1933,0.146,0.166,.
522,PSB,0,1933,0.143,0.112,.
523,SML,0,1934,0.05,0.107,.
524,HKG,0,1934,0.146,0.166,.
525,PSB,0,1934,0.143,0.112,.
526,SML,0,1935,0.056,0.108,.
527,HKG,0,1935,0.146,0.166,.
528,PSB,0,1935,0.143,0.112,.
529,SML,0,1936,0.056,0.108,.
530,HKG,0,1936,0.146,0.166,.
531,PSB,0,1936,0.143,0.111,.
532,SML,0,1937,0.058,0.108,.
533,HKG,0,1937,0.146,0.166,.
534,PSB,0,1937,0.143,0.111,.
535,SML,0,1938,0.058,0.108,.
536,HKG,0,1938,0.146,0.166,.
537,PSB,0,1938,0.143,0.111,.
538,SML,0,1939,0.058,0.108,.
539,HKG,0,1939,0.146,0.166,.
540,PSB,0,1939,0.143,0.111,.
541,SML,0,1940,0.059,0.108,.
542,HKG,0,1940,0.146,0.164,.
543,PSB,0,1940,0.143,0.112,.
544,SML,0,1941,0.062,0.109,.
545,HKG,0,1941,0.12,0.148,.
546,PSB,0,1941,0.143,0.112,.
547,SML,0,1942,0.062,0.109,.
548,HKG,0,1942,0.106,0.143,.
549,PSB,0,1942,0.143,0.112,.
550,SML,0,1943,0.065,0.109,.
551,HKG,0,1943,0.106,0.143,.
552,PSB,0,1943,0.143,0.112,.
553,SML,0,1944,0.065,0.109,.
554,HKG,0,1944,0.106,0.145,.
555,PSB,0,1944,0.143,0.112,.
556,SML,0,1945,0.065,0.109,.
557,HKG,0,1945,0.106,0.149,.
558,PSB,0,1945,0.143,0.113,.
559,SML,0,1946,0.065,0.109,.
560,HKG,0,1946,0.151,0.173,.
561,PSB,0,1946,0.143,0.113,.
562,SML,0,1947,0.073,0.11,.
563,HKG,0,1947,0.151,0.173,.
564,PSB,0,1947,0.08,0.101,.
565,PSE,0,1948,0.047,0.042,.
566,PSG,0,1948,0.04,0.089,.
567,SML,0,1948,0.073,0.11,.
568,HKG,0,1948,0.151,0.173,.
569,PSB,0,1948,0.08,0.101,.
570,PSE,0,1949,0.049,0.042,.
571,PSG,0,1949,0.04,0.089,.
572,SML,0,1949,0.073,0.11,.
573,HKG,0,1949,0.151,0.173,.
574,PSG,0,1950,0.04,0.09,.
575,SML,0,1950,0.073,0.11,.
576,HKG,0,1950,0.149,0.173,.
577,PSG,0,1951,0.04,0.09,.
578,SML,0,1951,0.073,0.11,.
579,HKG,0,1951,0.149,0.173,.
580,PSG,0,1952,0.04,0.09,.
581,SML,0,1952,0.073,0.11,.
582,HKG,0,1952,0.149,0.173,.
583,PSG,0,1953,0.04,0.09,.
584,SML,0,1953,0.073,0.11,.
585,HKG,0,1953,0.149,0.173,.
586,PSG,0,1954,0.039,0.091,.
587,SML,0,1954,0.083,0.112,.
588,HKG,0,1954,0.149,0.173,.
589,PSG,0,1955,0.039,0.089,.
590,SML,0,1955,0.086,0.112,.
591,HKG,0,1955,0.149,0.173,.
592,PSG,0,1956,0.039,0.089,.
593,SML,0,1956,0.096,0.114,.
594,HKG,0,1956,0.149,0.173,.
595,PSG,0,1957,0.039,0.089,.
596,SML,0,1957,0.112,0.117,.
597,HKG,0,1957,0.151,0.173,.
598,PSG,0,1958,0.039,0.089,.
599,SML,0,1958,0.112,0.155,.
600,HKG,0,1958,0.151,0.173,.
601,PSG,0,1959,0.039,0.068,.
602,SML,0,1959,0.118,0.155,.
603,HKG,0,1959,0.151,0.173,.
604,PSG,0,1960,0.039,0.067,.
605,HKG,0,1960,0.162,0.181,.
606,PSG,0,1961,0.039,0.067,.
607,HKG,0,1961,0.162,0.181,.
608,PSG,0,1962,0.039,0.095,.
609,HKG,0,1962,0.162,0.181,.
610,PSG,0,1963,0.039,0.103,.
611,HKG,0,1963,0.162,0.181,.
612,PSG,0,1964,0.039,0.103,.
613,HKG,0,1964,0.161,0.18,.
614,PSG,0,1965,0.04,0.103,.
615,HKG,0,1965,0.161,0.179,.
616,ZZB,0,1965,0.019,0.04,.
617,PSG,0,1966,0.04,0.103,.
618,HKG,0,1966,0.161,0.179,.
619,ZZB,0,1966,0.019,0.04,.
620,PSE,0,1967,0.051,0.076,.
621,HKG,0,1967,0.162,0.18,.
622,ZZB,0,1967,0.017,0.04,.
623,PSE,0,1968,0.049,0.075,.
624,HKG,0,1968,0.163,0.183,.
625,ZZB,0,1968,0.017,0.04,.
626,PSE,0,1969,0.049,0.075,.
627,HKG,0,1969,0.162,0.183,.
628,ZZB,0,1969,0.017,0.04,.
629,PSE,0,1970,0.084,0.083,.
630,HKG,0,1970,0.166,0.187,.
631,ZZB,0,1970,0.017,0.04,.
632,PSE,0,1971,0.084,0.083,.
633,HKG,0,1971,0.166,0.187,.
634,ZZB,0,1971,0.017,0.04,.
635,PSE,0,1972,0.084,0.083,.
636,HKG,0,1972,0.166,0.187,.
637,ZZB,0,1972,0.017,0.04,.
638,PSE,0,1973,0.086,0.082,.
639,HKG,0,1973,0.166,0.187,.
640,ZZB,0,1973,0.019,0.063,.
641,PSE,0,1974,0.086,0.082,.
642,HKG,0,1974,0.166,0.193,.
643,ZZB,0,1974,0.019,0.063,.
644,PSE,0,1975,0.086,0.082,.
645,HKG,0,1975,0.166,0.193,.
646,ZZB,0,1975,0.019,0.063,.
647,PSE,0,1976,0.086,0.082,.
648,HKG,0,1976,0.166,0.194,.
649,ZZB,0,1976,0.019,0.063,.
650,PSE,0,1977,0.086,0.082,.
651,HKG,0,1977,0.169,0.195,.
652,ZZB,0,1977,0.019,0.084,.
653,PSE,0,1978,0.086,0.082,.
654,HKG,0,1978,0.169,0.195,.
655,ZZB,0,1978,0.019,0.09,.
656,PSE,0,1979,0.086,0.082,.
657,HKG,0,1979,0.169,0.195,.
658,ZZB,0,1979,0.019,0.09,.
659,PSE,0,1980,0.086,0.081,.
660,HKG,0,1980,0.186,0.203,.
661,ZZB,0,1980,0.029,0.099,.
662,PSE,0,1981,0.089,0.081,.
663,HKG,0,1981,0.186,0.203,.
664,ZZB,0,1981,0.107,0.11,.
665,PSE,0,1982,0.089,0.081,.
666,HKG,0,1982,0.186,0.203,.
667,ZZB,0,1982,0.107,0.11,.
668,PSE,0,1983,0.089,0.081,.
669,HKG,0,1983,0.186,0.203,.
670,ZZB,0,1983,0.107,0.11,.
671,PSE,0,1984,0.086,0.081,.
672,HKG,0,1984,0.187,0.205,.
673,ZZB,0,1984,0.115,0.127,.
674,PSE,0,1985,0.086,0.081,.
675,HKG,0,1985,0.189,0.209,.
676,ZZB,0,1985,0.118,0.128,.
677,PSE,0,1986,0.086,0.081,.
678,HKG,0,1986,0.198,0.215,.
679,ZZB,0,1986,0.117,0.128,.
680,PSE,0,1987,0.082,0.079,.
681,HKG,0,1987,0.198,0.215,.
682,ZZB,0,1987,0.117,0.128,.
683,PSE,0,1988,0.082,0.079,.
684,HKG,0,1988,0.198,0.215,.
685,ZZB,0,1988,0.117,0.122,.
686,PSE,0,1989,0.082,0.079,.
687,HKG,0,1989,0.202,0.216,.
688,ZZB,0,1989,0.114,0.115,.
689,PSE,0,1990,0.077,0.079,.
690,HKG,0,1990,0.266,0.252,.
691,ZZB,0,1990,0.116,0.122,.
692,PSE,0,1991,0.078,0.079,.
693,SML,0,1991,0.144,0.082,.
694,HKG,0,1991,0.301,0.275,.
