id,stateabb1,ccode1,stateabb2,ccode2,year,defense,milex_1,milex_2,tpop_1,tpop_2
72,USA,2,BHM,31,1990,1,289755000,65700,249907.0,255.0
73,USA,2,BHM,31,1991,1,262389000,48000,252618.0,260.0
74,USA,2,BHM,31,1992,1,286892000,17800,255391.0,264.0
75,USA,2,BHM,31,1993,1,297600000,-9,258132.0,269.0
76,USA,2,BHM,31,1994,1,293214000,20000,260602.0,274.0
77,USA,2,BHM,31,1995,1,277834000,19000,262755.0,279.0
78,USA,2,BHM,31,1996,1,277254000,22000,265284.0,284.0
79,USA,2,BHM,31,1997,1,276324000,22000,267901.0,289.0
80,USA,2,BHM,31,1998,1,279702000,26000,274028.0,296.0
81,USA,2,BHM,31,1999,1,292147000,26000,276218.0,301.0
82,USA,2,BHM,31,2000,1,303136000,30000,278357.0,307.0
83,USA,2,BHM,31,2001,1,322365000,29000,285112.0,308.0
84,USA,2,BHM,31,2002,1,348555000,28000,290270.0,309.0
85,USA,2,BHM,31,2003,1,404920000,33000,292883.0,316.0
86,USA,2,BHM,31,2004,1,455908000,34000,295487.0,322.0
87,USA,2,BHM,31,2005,1,495326000,36000,298166.0,329.0
88,USA,2,BHM,31,2006,1,521840000,48000,300943.0,336.0
89,USA,2,BHM,31,2007,1,552568000,58000,303787.0,342.0
90,USA,2,BHM,31,2008,1,616073000,49000,306657.0,348.0
91,USA,2,BHM,31,2009,1,662049000,49000,309492.0,354.0
92,USA,2,BHM,31,2010,1,693600000,47000,312247.0,360.0
93,USA,2,BHM,31,2011,1,687000000,50000,314912.0,366.0
94,USA,2,BHM,31,2012,1,655388000,55000,317505.0,372.0
95,USA,2,CUB,40,1936,0,932600,18385,128181.0,4110.0
96,USA,2,CUB,40,1937,0,1032900,18485,128961.0,4170.0
97,USA,2,CUB,40,1938,0,1131499,18385,129969.0,4230.0
98,USA,2,CUB,40,1939,0,980000,18477,131028.0,4250.0
99,USA,2,CUB,40,1940,0,1657000,17416,132122.0,4290.0
100,USA,2,CUB,40,1941,0,6301000,-9,133402.0,4330.0
101,USA,2,CUB,40,1942,0,26001000,15794,134860.0,4370.0
102,USA,2,CUB,40,1943,0,72109000,-9,136739.0,4780.0
103,USA,2,CUB,40,1944,0,87000000,-9,138397.0,4850.0
104,USA,2,CUB,40,1945,1,90000000,-9,139928.0,4930.0
