id,stateabb,ccode,year,chrstgen,islmnat,islmalw,chrstorth,major
143,USA,2,1959,.,.,.,.,1.0
144,USA,2,1960,150234347.0,0.0,0.0,3334535.0,1.0
145,USA,2,1961,.,.,.,.,1.0
146,USA,2,1962,.,.,.,.,1.0
147,USA,2,1963,.,.,.,.,1.0
148,USA,2,1964,.,.,.,.,1.0
149,USA,2,1965,167515758.0,0.0,0.0,4792868.0,1.0
150,USA,2,1966,.,.,.,.,1.0
151,USA,2,1967,.,.,.,.,1.0
152,USA,2,1968,.,.,.,.,1.0
153,USA,2,1969,.,.,.,.,1.0
154,USA,2,1970,172867051.0,0.0,0.0,5498914.0,1.0
155,USA,2,1971,.,.,.,.,1.0
156,USA,2,1972,.,.,.,.,1.0
157,USA,2,1973,.,.,.,.,1.0
158,USA,2,1974,.,.,.,.,1.0
159,USA,2,1975,182810532.0,0.0,0.0,6651649.0,1.0
160,USA,2,1976,.,.,.,.,1.0
161,USA,2,1977,.,.,.,.,1.0
162,USA,2,1978,.,.,.,.,1.0
163,USA,2,1979,.,.,.,.,1.0
164,USA,2,1980,186649864.0,0.0,0.0,4677202.0,1.0
165,USA,2,1981,.,.,.,.,1.0
166,USA,2,1982,.,.,.,.,1.0
167,USA,2,1983,.,.,.,.,1.0
168,USA,2,1984,.,.,.,.,1.0
169,USA,2,1985,199787782.0,0.0,0.0,5245662.0,1.0
170,USA,2,1986,.,.,.,.,1.0
171,USA,2,1987,.,.,.,.,1.0
172,USA,2,1988,.,.,.,.,1.0
173,USA,2,1989,.,.,.,.,1.0
174,USA,2,1990,214425162.0,0.0,0.0,6715078.0,1.0
175,USA,2,1991,.,.,.,.,1.0
176,USA,2,1992,.,.,.,.,1.0
177,USA,2,1993,.,.,.,.,1.0
178,USA,2,1994,.,.,.,.,1.0
179,USA,2,1995,215593975.0,0.0,0.0,6639161.0,1.0
180,USA,2,1996,.,.,.,.,1.0
181,USA,2,1997,.,.,.,.,1.0
182,USA,2,1998,.,.,.,.,1.0
183,USA,2,1999,.,.,.,.,1.0
184,USA,2,2000,219818305.0,0.0,0.0,6563244.0,1.0
185,USA,2,2001,.,.,.,.,1.0
186,USA,2,2002,.,.,.,.,1.0
187,USA,2,2003,.,.,.,.,1.0
188,USA,2,2004,.,.,.,.,1.0
189,USA,2,2005,226464805.0,0.0,0.0,6800059.0,1.0
190,USA,2,2006,.,.,.,.,1.0
191,USA,2,2007,.,.,.,.,1.0
192,USA,2,2008,.,.,.,.,1.0
193,USA,2,2009,.,.,.,.,1.0
194,USA,2,2010,233111307.0,0.0,0.0,7036875.0,1.0
195,USA,2,2011,.,.,.,.,1.0
196,USA,2,2012,.,.,.,.,1.0
197,USA,2,2013,.,.,.,.,1.0
198,USA,2,2014,.,.,.,.,1.0
199,CAN,20,1920,.,.,.,.,0.0
200,CAN,20,1921,.,.,.,.,0.0
201,CAN,20,1922,.,.,.,.,0.0
202,CAN,20,1923,.,.,.,.,0.0
203,CAN,20,1924,.,.,.,.,0.0
204,CAN,20,1925,.,.,.,.,0.0
205,CAN,20,1926,.,.,.,.,0.0
206,CAN,20,1927,.,.,.,.,0.0
207,CAN,20,1928,.,.,.,.,0.0
208,CAN,20,1929,.,.,.,.,0.0
209,CAN,20,1930,.,.,.,.,0.0
210,CAN,20,1931,.,.,.,.,0.0
211,CAN,20,1932,.,.,.,.,0.0
212,CAN,20,1933,.,.,.,.,0.0
213,CAN,20,1934,.,.,.,.,0.0
214,CAN,20,1935,.,.,.,.,0.0
215,CAN,20,1936,.,.,.,.,0.0
216,CAN,20,1937,.,.,.,.,0.0
217,CAN,20,1938,.,.,.,.,0.0
218,CAN,20,1939,.,.,.,.,0.0
219,CAN,20,1940,.,.,.,.,0.0
220,CAN,20,1941,.,.,.,.,0.0
221,CAN,20,1942,.,.,.,.,0.0
222,CAN,20,1943,.,.,.,.,0.0
223,CAN,20,1944,.,.,.,.,0.0
224,CAN,20,1945,10531961.0,0.0,0.0,241370.0,0.0
225,CAN,20,1946,.,.,.,.,0.0
226,CAN,20,1947,.,.,.,.,0.0
227,CAN,20,1948,.,.,.,.,0.0
228,CAN,20,1949,.,.,.,.,0.0
229,CAN,20,1950,12225479.0,0.0,0.0,200560.0,0.0
230,CAN,20,1951,.,.,.,.,0.0
231,CAN,20,1952,.,.,.,.,0.0
232,CAN,20,1953,.,.,.,.,0.0
233,CAN,20,1954,.,.,.,.,0.0
234,CAN,20,1955,13969532.0,0.0,0.0,314989.0,0.0
235,CAN,20,1956,.,.,.,.,0.0
236,CAN,20,1957,.,.,.,.,0.0
237,CAN,20,1958,.,.,.,.,0.0
238,CAN,20,1959,.,.,.,.,0.0
239,CAN,20,1960,16170219.0,0.0,0.0,350000.0,0.0
240,CAN,20,1961,.,.,.,.,0.0
241,CAN,20,1962,.,.,.,.,0.0
242,CAN,20,1963,.,.,.,.,0.0
243,CAN,20,1964,.,.,.,.,0.0
244,CAN,20,1965,17316559.0,0.0,0.0,429419.0,0.0
245,CAN,20,1966,.,.,.,.,0.0
246,CAN,20,1967,.,.,.,.,0.0
247,CAN,20,1968,.,.,.,.,0.0
248,CAN,20,1969,.,.,.,.,0.0
249,CAN,20,1970,17889480.0,0.0,0.0,638910.0,0.0
250,CAN,20,1971,.,.,.,.,0.0
251,CAN,20,1972,.,.,.,.,0.0
252,CAN,20,1973,.,.,.,.,0.0
253,CAN,20,1974,.,.,.,.,0.0
254,CAN,20,1975,20097739.0,0.0,0.0,347936.0,0.0
255,CAN,20,1976,.,.,.,.,0.0
256,CAN,20,1977,.,.,.,.,0.0
257,CAN,20,1978,.,.,.,.,0.0
258,CAN,20,1979,.,.,.,.,0.0
259,CAN,20,1980,21554382.0,0.0,0.0,327798.0,0.0
260,CAN,20,1981,.,.,.,.,0.0
261,CAN,20,1982,.,.,.,.,0.0
262,CAN,20,1983,.,.,.,.,0.0
263,CAN,20,1984,.,.,.,.,0.0
264,CAN,20,1985,23296160.0,0.0,0.0,400000.0,0.0
265,CAN,20,1986,.,.,.,.,0.0
266,CAN,20,1987,.,.,.,.,0.0
267,CAN,20,1988,.,.,.,.,0.0
268,CAN,20,1989,.,.,.,.,0.0
269,CAN,20,1990,24346000.0,0.0,0.0,510000.0,0.0
270,CAN,20,1991,.,.,.,.,0.0
271,CAN,20,1992,.,.,.,.,0.0
272,CAN,20,1993,.,.,.,.,0.0
273,CAN,20,1994,.,.,.,.,0.0
274,CAN,20,1995,24958842.0,0.0,0.0,550896.0,0.0
275,CAN,20,1996,.,.,.,.,0.0
276,CAN,20,1997,.,.,.,.,0.0
277,CAN,20,1998,.,.,.,.,0.0
278,CAN,20,1999,.,.,.,.,0.0
279,CAN,20,2000,25571687.0,0.0,0.0,591793.0,0.0
280,CAN,20,2001,.,.,.,.,0.0
281,CAN,20,2002,.,.,.,.,0.0
282,CAN,20,2003,.,.,.,.,0.0
283,CAN,20,2004,.,.,.,.,0.0
284,CAN,20,2005,26057640.0,0.0,0.0,589399.0,0.0
285,CAN,20,2006,.,.,.,.,0.0
286,CAN,20,2007,.,.,.,.,0.0
287,CAN,20,2008,.,.,.,.,0.0
288,CAN,20,2009,.,.,.,.,0.0
289,CAN,20,2010,26431104.0,0.0,0.0,785000.0,0.0
290,CAN,20,2011,.,.,.,.,0.0
291,CAN,20,2012,.,.,.,.,0.0
292,CAN,20,2013,.,.,.,.,0.0
293,CAN,20,2014,.,.,.,.,0.0
294,BHM,31,1973,.,.,.,.,0.0
295,BHM,31,1974,.,.,.,.,0.0
296,BHM,31,1975,164603.0,0.0,0.0,514.0,0.0
297,BHM,31,1976,.,.,.,.,0.0
298,BHM,31,1977,.,.,.,.,0.0
299,BHM,31,1978,.,.,.,.,0.0
300,BHM,31,1979,.,.,.,.,0.0
301,BHM,31,1980,174180.0,0.0,0.0,600.0,0.0
302,BHM,31,1981,.,.,.,.,0.0
303,BHM,31,1982,.,.,.,.,0.0
304,BHM,31,1983,.,.,.,.,0.0
305,BHM,31,1984,.,.,.,.,0.0
306,BHM,31,1985,185700.0,0.0,0.0,700.0,0.0
307,BHM,31,1986,.,.,.,.,0.0
308,BHM,31,1987,.,.,.,.,0.0
309,BHM,31,1988,.,.,.,.,0.0
310,BHM,31,1989,.,.,.,.,0.0
311,BHM,31,1990,209670.0,0.0,0.0,195.0,0.0
312,BHM,31,1991,.,.,.,.,0.0
313,BHM,31,1992,.,.,.,.,0.0
314,BHM,31,1993,.,.,.,.,0.0
315,BHM,31,1994,.,.,.,.,0.0
316,BHM,31,1995,253645.0,0.0,0.0,200.0,0.0
317,BHM,31,1996,.,.,.,.,0.0
318,BHM,31,1997,.,.,.,.,0.0
319,BHM,31,1998,.,.,.,.,0.0
320,BHM,31,1999,.,.,.,.,0.0
321,BHM,31,2000,297045.0,0.0,0.0,0.0,0.0
322,BHM,31,2001,.,.,.,.,0.0
323,BHM,31,2002,.,.,.,.,0.0
324,BHM,31,2003,.,.,.,.,0.0
325,BHM,31,2004,.,.,.,.,0.0
326,BHM,31,2005,313950.0,0.0,0.0,0.0,0.0
327,BHM,31,2006,.,.,.,.,0.0
328,BHM,31,2007,.,.,.,.,0.0
329,BHM,31,2008,.,.,.,.,0.0
330,BHM,31,2009,.,.,.,.,0.0
331,BHM,31,2010,302657.0,0.0,0.0,0.0,0.0
332,BHM,31,2011,.,.,.,.,0.0
333,BHM,31,2012,.,.,.,.,0.0
334,BHM,31,2013,.,.,.,.,0.0
335,BHM,31,2014,.,.,.,.,0.0
336,CUB,40,1902,.,.,.,.,0.0
337,CUB,40,1903,.,.,.,.,0.0
338,CUB,40,1904,.,.,.,.,0.0
339,CUB,40,1905,.,.,.,.,0.0
340,CUB,40,1906,.,.,.,.,0.0
341,CUB,40,1909,.,.,.,.,0.0
342,CUB,40,1910,.,.,.,.,0.0
343,CUB,40,1911,.,.,.,.,0.0
344,CUB,40,1912,.,.,.,.,0.0
345,CUB,40,1913,.,.,.,.,0.0
346,CUB,40,1914,.,.,.,.,0.0
347,CUB,40,1915,.,.,.,.,0.0
348,CUB,40,1916,.,.,.,.,0.0
349,CUB,40,1917,.,.,.,.,0.0
350,CUB,40,1918,.,.,.,.,0.0
351,CUB,40,1919,.,.,.,.,0.0
352,CUB,40,1920,.,.,.,.,0.0
353,CUB,40,1921,.,.,.,.,0.0
354,CUB,40,1922,.,.,.,.,0.0
355,CUB,40,1923,.,.,.,.,0.0
356,CUB,40,1924,.,.,.,.,0.0
357,CUB,40,1925,.,.,.,.,0.0
358,CUB,40,1926,.,.,.,.,0.0
359,CUB,40,1927,.,.,.,.,0.0
360,CUB,40,1928,.,.,.,.,0.0
361,CUB,40,1929,.,.,.,.,0.0
362,CUB,40,1930,.,.,.,.,0.0
363,CUB,40,1931,.,.,.,.,0.0
364,CUB,40,1932,.,.,.,.,0.0
365,CUB,40,1933,.,.,.,.,0.0
366,CUB,40,1934,.,.,.,.,0.0
367,CUB,40,1935,.,.,.,.,0.0
368,CUB,40,1936,.,.,.,.,0.0
369,CUB,40,1937,.,.,.,.,0.0
370,CUB,40,1938,.,.,.,.,0.0
371,CUB,40,1939,.,.,.,.,0.0
372,CUB,40,1940,.,.,.,.,0.0
373,CUB,40,1941,.,.,.,.,0.0
374,CUB,40,1942,.,.,.,.,0.0
375,CUB,40,1943,.,.,.,.,0.0
376,CUB,40,1944,.,.,.,.,0.0
377,CUB,40,1945,4573565.0,0.0,0.0,0.0,0.0
378,CUB,40,1946,.,.,.,.,0.0
379,CUB,40,1947,.,.,.,.,0.0
380,CUB,40,1948,.,.,.,.,0.0
381,CUB,40,1949,.,.,.,.,0.0
382,CUB,40,1950,5184852.0,0.0,0.0,0.0,0.0
383,CUB,40,1951,.,.,.,.,0.0
384,CUB,40,1952,.,.,.,.,0.0
385,CUB,40,1953,.,.,.,.,0.0
386,CUB,40,1954,.,.,.,.,0.0
387,CUB,40,1955,5704366.0,0.0,0.0,0.0,0.0
388,CUB,40,1956,.,.,.,.,0.0
389,CUB,40,1957,.,.,.,.,0.0
390,CUB,40,1958,.,.,.,.,0.0
391,CUB,40,1959,.,.,.,.,0.0
392,CUB,40,1960,6189000.0,0.0,0.0,0.0,0.0
393,CUB,40,1961,.,.,.,.,0.0
394,CUB,40,1962,.,.,.,.,0.0
395,CUB,40,1963,.,.,.,.,0.0
396,CUB,40,1964,.,.,.,.,0.0
397,CUB,40,1965,6225920.0,0.0,0.0,0.0,0.0
398,CUB,40,1966,.,.,.,.,0.0
399,CUB,40,1967,.,.,.,.,0.0
400,CUB,40,1968,.,.,.,.,0.0
401,CUB,40,1969,.,.,.,.,0.0
402,CUB,40,1970,6382300.0,0.0,0.0,2000.0,0.0
403,CUB,40,1971,.,.,.,.,0.0
404,CUB,40,1972,.,.,.,.,0.0
405,CUB,40,1973,.,.,.,.,0.0
406,CUB,40,1974,.,.,.,.,0.0
407,CUB,40,1975,6504238.0,0.0,0.0,2000.0,0.0
408,CUB,40,1976,.,.,.,.,0.0
409,CUB,40,1977,.,.,.,.,0.0
410,CUB,40,1978,.,.,.,.,0.0
411,CUB,40,1979,.,.,.,.,0.0
412,CUB,40,1980,6921580.0,0.0,0.0,0.0,0.0
413,CUB,40,1981,.,.,.,.,0.0
414,CUB,40,1982,.,.,.,.,0.0
415,CUB,40,1983,.,.,.,.,0.0
416,CUB,40,1984,.,.,.,.,0.0
417,CUB,40,1985,7554920.0,0.0,0.0,0.0,0.0
418,CUB,40,1986,.,.,.,.,0.0
419,CUB,40,1987,.,.,.,.,0.0
420,CUB,40,1988,.,.,.,.,0.0
421,CUB,40,1989,.,.,.,.,0.0
422,CUB,40,1990,7680210.0,0.0,0.0,1450.0,0.0
423,CUB,40,1991,.,.,.,.,0.0
424,CUB,40,1992,.,.,.,.,0.0
425,CUB,40,1993,.,.,.,.,0.0
426,CUB,40,1994,.,.,.,.,0.0
427,CUB,40,1995,8524160.0,0.0,0.0,0.0,0.0
428,CUB,40,1996,.,.,.,.,0.0
429,CUB,40,1997,.,.,.,.,0.0
430,CUB,40,1998,.,.,.,.,0.0
431,CUB,40,1999,.,.,.,.,0.0
432,CUB,40,2000,8100650.0,0.0,0.0,0.0,0.0
433,CUB,40,2001,.,.,.,.,0.0
434,CUB,40,2002,.,.,.,.,0.0
435,CUB,40,2003,.,.,.,.,0.0
436,CUB,40,2004,.,.,.,.,0.0
437,CUB,40,2005,7520095.0,0.0,0.0,40000.0,0.0
438,CUB,40,2006,.,.,.,.,0.0
439,CUB,40,2007,.,.,.,.,0.0
440,CUB,40,2008,.,.,.,.,0.0
441,CUB,40,2009,.,.,.,.,0.0
442,CUB,40,2010,7407107.0,0.0,0.0,0.0,0.0
443,CUB,40,2011,.,.,.,.,0.0
444,CUB,40,2012,.,.,.,.,0.0
445,CUB,40,2013,.,.,.,.,0.0
